event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MEX93838,"01 October 2024",2024,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Police Forces of Mexico (2018-) State Police","Military Forces of Mexico (2018-); Police Forces of Mexico (2018-) National Guard","State forces","State forces-Political militia",,484,"North America",Mexico,"Nuevo Leon","Lampazos de Naranjo",,"La Placeta",27.134,-100.6849,1,Milenio,National,"On 1 October 2024, in La Placeta, Nuevo Leon, there was an armed clash between armed men against the National Guard, state police, and military officers during a patrol. Three men were arrested. Drugs were seized. There were no casualties.",0,,1728335028
MEX93543,"01 October 2024",2024,1,"Political violence",Battles,"Armed clash","La Familia Michoacana Cartel",,"Political militia","Tehuixtla Communal Militia (Mexico)",,"Identity militia","Political militia-Identity militia",,484,"North America",Mexico,Guerrero,Teloloapan,,Tehuixtla,18.3166,-99.9316,1,"La Silla Rota",National,"On 1 October 2024, in Tehuixtla, Guerrero, early morning a group of approximately 50 members of La Familia Michoacana attempted to enter the community. Armed members of the community shot at them. There was an armed clash. According to residents, at least seven people were killed and several individuals were injured. At least 7 fatalities.",7,,1728358500
MEX93544,"01 October 2024",2024,1,"Political violence",Battles,"Armed clash","Los Herreras Gang (Mexico)",,"Political militia","Police Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,Chiapas,"San Cristobal de las Casas",,"San Cristobal de las Casas",16.737,-92.6376,1,"La Jornada; Milenio",National,"On 1 October 2024, in San Cristobal de las Casas, Chiapas, armed men and members of Los Herrera gang attacked municipal police officers close to Colonia Insurgentes who repelled the aggression. One police officer and one armed man were killed, while one armed man was injured and four were arrested. 2 fatalities, 1 injury.",2,,1728358500
MEX93766,"01 October 2024",2024,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Military Forces of Mexico (2018-)","Police Forces of Mexico (2018-) State Police","State forces","State forces-Political militia",,484,"North America",Mexico,Colima,Colima,,"Puerta de Anzar",19.1187,-103.5492,1,"El Proceso; La Jornada",National,"On 1 October 2024, in Puerta de Anzar, Colima, armed individuals opened fire at officer of the Navy and the state police on patrol who repelled the aggression. Six armed individuals were killed as a result. 6 fatalities.",6,,1728358501
MEX93837,"01 October 2024",2024,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Police Forces of Mexico (2018-) Ministerial Federal Police","Military Forces of Mexico (2018-); Police Forces of Mexico (2018-) National Guard","State forces","State forces-Political militia",,484,"North America",Mexico,Guerrero,Teloloapan,,Ahuehuetla,18.3127,-99.939,1,"La Silla Rota",National,"On 1 October 2024, in Ahuehuetla, Guerrero, criminal members shot at elements of the National Guard, Ministerial police officers and military forces during a patrol. Three armed men were killed. Weapons and drugs were seized. 3 fatalities.",3,,1728358502
MEX93551,"29 September 2024",2024,2,"Political violence",Battles,"Armed clash","Military Forces of Mexico (2018-)","Police Forces of Mexico (2018-) National Guard","State forces","Unidentified Gang (Mexico)",,"Political militia","State forces-Political militia",,484,"North America",Mexico,Hidalgo,"Nopala de Villagran",,"Nopala de Villagran",20.2519,-99.6454,1,Milenio,National,"Around 29 September 2024 (as reported), in Nopala de Villagran, Hidalgo, army and National Guard officers clashed with armed individuals. Five people were injured (four officers and an armed individual). The officers seized drugs and fuel.",0,,1728358500
MEX93713,"29 September 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Unidentified Armed Group (Mexico)",,"Political militia","Civilians (Mexico)",,Civilians,"Political militia-Civilians","Civilian targeting",484,"North America",Mexico,"Michoacan de Ocampo",Paracuaro,,Paracuaro,19.1458,-102.22,1,"Milenio; MiMorelia",Subnational-National,"On 29 September 2024, in Paracuaro, Michoacan, according to residents, unidentified armed individuals launched homemade explosives from drones. The attack caused damage to the roofs of several homes. Casualties unknown.",0,,1728358501
MEX93780,"29 September 2024",2024,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Private Security Forces (Mexico)",,"External/Other forces","Political militia-External/Other forces",,484,"North America",Mexico,"Baja California",Tijuana,,Tijuana,32.5325,-117.019,1,"Zeta Tijuana",Subnational,"On 29 September 2024, in Tijuana, Baja California, an armed man shot and injured the security guard of Marbella bar, on Diaz Ordaz boulevard, in Colonia Veracruz. The perpetrator fled in a car and was later arrested.",0,,1728358502
MEX93546,"28 September 2024",2024,1,"Political violence",Battles,"Armed clash","Los Rusos Gang",,"Political militia","Los Salazar Gang",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,Sonora,"San Luis Rio Colorado",,"San Luis Rio Colorado",32.4798,-114.7796,1,"La Verdad; Nacion 321",National,"On 28 September 2024, in San Luis Rio Colorado, Sonora, members of Los Rusos and Los Salazar gangs clashed. The first is an armed branch of Los Mayos gang (Sinaloa Cartel) while Los Salazar were an armed branch linked to Los Chapitos gang (Sinaloa Cartel). Five people were killed. After the clash, army and state police officers intervened and arrested three gang leaders. 5 fatalities.",5,,1728358500
MEX93772,"28 September 2024",2024,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,"Nuevo Leon",Juarez,,"Benito Juarez",25.6513,-100.106,1,"La Jornada",National,"On 28 September 2024, in Benito Juarez, Nuevo Leon, armed individuals on pick-up vans and police officers clashed on Vistas del Rio avenue towards Potrero and Ebanos streets, in Ejido Calderon, where the armed individuals were arrested. There were no casualties.",0,,1728358502
